Location,Road,Road_Name,Time_Interval,Date,Time,Direction_Negative,Number_of_Vehicles,Average_Speed,Traffic_Type,Direction_Positive,Number_of_Vehicles,Average_Speed,Traffic_Type
Stebėkiai II,3022,Ramygala–Stebeikiai,15,2023-11-15,09:00:37,negative,1,75.8,normal,positive,1,63.3,normal
Draudeniai,4517,Sartininkai–Draudeniai,15,2023-11-15,09:01:14,,0,0.0,0,,0,0.0,0
Potrai,2218,Kretingalė–Bruzdeilynas,15,2023-11-15,09:00:21,negative,0,,normal,positive,0,,normal
Verėduva,196,Ariogala–Raseiniai–Kryžkalnis,15,2023-11-15,09:01:38,negative,12,90.03,normal,positive,7,90.51,normal
Klaipėda,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-15,09:00:00,positive,293,90.55,normal,negative,248,83.45,normal
Nemirseta,A13,Klaipėda–Liepoja,15,2023-11-15,09:00:00,positive,100,84.83,normal,negative,93,87.76,normal
Didžiuliai,3527,Didžiuliai–Stanioniai,15,2023-11-15,09:00:31,negative,0,,normal,positive,1,66.3,normal
Keteriai,4516,Skaudvilė–Bijotai–Karyznos,15,2023-11-15,09:00:29,negative,9,62.98,heavy,positive,1,61.9,heavy
Bareiškiai,123,Biržai–Pandėlys–Rokiškis,15,2023-11-15,09:01:13,positive,18,94.61,normal,negative,13,83.38,normal
Babtai,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-15,09:00:00,negative,129,102.92,heavy,positive,144,103.54,heavy
Naujasodžiai 1,A16,Vilnius–Prienai–Marijampolė,15,2023-11-15,09:00:39,positive,48,56.22,normal,negative,73,55.38,normal
Kirtimai II,A19,Vilniaus pietinis aplinkkelis,15,2023-11-15,09:01:13,negative,158,89.65,normal,positive,233,85.59,normal
Kalnujai,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-15,09:00:00,positive,0,,normal,negative,0,,normal
Paviščionys,3512,Raseiniai–Paupys–Eržvilkas,15,2023-11-15,09:00:22,positive,0,,normal,negative,0,,normal
Rutka,130,Kaunas–Prienai–Alytus,15,2023-11-15,09:01:23,negative,60,84.09,normal,positive,60,83.56,normal
Kernai,3707,Puodkaliai–Daukšiai,15,2023-11-15,09:00:27,negative,1,60.8,heavy,positive,0,,normal
Skriaudžiai,A5,Kaunas–Marijampolė–Suvalkai,15,2023-11-15,09:00:00,negative,36,106.98,normal,positive,84,94.98,normal
Malkėstas,A14,Vilnius–Utena,15,2023-11-15,09:00:40,negative,32,88.06,normal,positive,38,89.36,normal
Juodbūdis 2,3314,Klebiškis–Juodbūdis–Veiveriai,15,2023-11-15,09:00:00,negative,0,,normal,positive,0,,normal
